id	gold standard passage	top_1	top_3	top_5
0	[31715818]	26071782	26071782;21257564;825728	26071782;21257564;825728;28138927;26731863
2	[13734012]	13734012	13734012;18617259;42240424	13734012;18617259;42240424;17333231;21616324
4	[22942787]	1387104	1387104;24980622;10958594	1387104;24980622;10958594;5641851;13030852
6	[2613775]	23117378	23117378;2613775;20240998	23117378;2613775;20240998;35521287;21050357
9	[44265107]	44265107	44265107;25182647;24700152	44265107;25182647;24700152;21186109;16737210
10	[32587939]	13780287	13780287;4399311;20904154	13780287;4399311;20904154;32587939;7482674
11	[32587939]	13780287	13780287;4399311;20904154	13780287;4399311;20904154;32587939;7482674
12	[33409100]	11705328	11705328;33409100;26025820	11705328;33409100;26025820;43557480;23377475
14	[641786]	1373287	1373287;6421792;393001	1373287;6421792;393001;641786;22712546
15	[22080671]	25238950	25238950;18953920;3848469	25238950;18953920;3848469;37912677;3758260
17	[1606628]	7662395	7662395;17450673;1263446	7662395;17450673;1263446;25182647;30786800
18	[22942787]	1387104	1387104;24980622;10958594	1387104;24980622;10958594;5641851;13030852
19	[3202143]	13072113	13072113;7042304;21232018	13072113;7042304;21232018;3202143;17209919
20	[3202143]	13072113	13072113;7042304;3202143	13072113;7042304;3202143;17209919;21232018
21	[41493639]	13843341	13843341;45341480;41493639	13843341;45341480;41493639;23862975;1259359
22	[6490571]	6490571	6490571;14682243;73473433	6490571;14682243;73473433;13934676;21274919
24	[3471191]	1900152	1900152;15128866;4468861	1900152;15128866;4468861;3471191;7975937
25	[2613775]	23117378	23117378;2613775;20240998	23117378;2613775;20240998;35521287;21050357
26	[32390525]	79696454	79696454;437924;14260013	79696454;437924;14260013;1373287;5492542
27	[32390525]	79696454	79696454;437924;14260013	79696454;437924;14260013;1373287;5492542
28	[12670680]	12670680	12670680;28015516;28149602	12670680;28015516;28149602;14938990;5448119
30	[24341590]	13069283	13069283;24341590;12438901	13069283;24341590;12438901;20454006;15721252
32	[12428497]	12428497	12428497;33723822;27527854	12428497;33723822;27527854;44629665;2264455
34	[11705328]	42441846	42441846;11705328;8595678	42441846;11705328;8595678;37424881;21636085
35	[5152028, 11705328]	42441846	42441846;33409100;18557974	42441846;33409100;18557974;16252863;37424881
37	[5152028, 11705328]	16252863	16252863;33409100;42441846	16252863;33409100;42441846;12810152;11705328
39	[13497630]	13497630	13497630;11109043;34198460	13497630;11109043;34198460;4423220;15129362
40	[13497630]	13497630	13497630;11109043;17088791	13497630;11109043;17088791;34198460;596817
41	[18174210]	18174210	18174210;40913091;27162821	18174210;40913091;27162821;4449524;45218443
43	[7224723]	5398179	5398179;4816339;8563659	5398179;4816339;8563659;9433958;35987381
44	[56893404]	56893404	56893404;24704139;2138843	56893404;24704139;2138843;41264017;3230557
45	[56893404]	56893404	56893404;41264017;3230557	56893404;41264017;3230557;24704139;13282296
46	[380526]	380526	380526;43329366;13519661	380526;43329366;13519661;17625068;3868322
47	[3512154, 26996935]	26996935	26996935;11336632;3512154	26996935;11336632;3512154;23117928;28707489
52	[45638119]	45638119	45638119;7821634;25973484	45638119;7821634;25973484;22401720;5372432
55	[49556906]	49556906	49556906;9899292;3419709	49556906;9899292;3419709;9752604;19313533
58	[4709641]	4709641	4709641;22116439;4459491	4709641;22116439;4459491;22185730;11659421
60	[13899137, 13901073]	39984099	39984099;374902;28806780	39984099;374902;28806780;13071728;25134146
61	[13899137, 13901073]	39984099	39984099;13899137;374902	39984099;13899137;374902;46353045;25134146
62	[32587939]	25510546	25510546;13780287;4399311	25510546;13780287;4399311;20904154;32587939
63	[40349336]	12909503	12909503;21295300;5572127	12909503;21295300;5572127;30122260;16644043
64	[40349336]	12909503	12909503;30122260;21295300	12909503;30122260;21295300;5572127;16644043
66	[14806256]	39443128	39443128;10326242;25388309	39443128;10326242;25388309;8925851;6315132
67	[21295300]	21295300	21295300;12909503;213017	21295300;12909503;213017;5572127;29422484
68	[21295300]	21295300	21295300;29422484;21219071	21295300;29422484;21219071;29429111;28697248
69	[5956380, 4414547]	5956380	5956380;4414547;21307488	5956380;4414547;21307488;9669099;23985464
71	[1127562]	1127562	1127562;24864273;16267205	1127562;24864273;16267205;22362025;18949516
73	[6076903]	6076903	6076903;17119869;1031534	6076903;17119869;1031534;15953181;14492964
74	[4387784]	13965483	13965483;2837758;20330519	13965483;2837758;20330519;26488879;22703082
76	[5531479]	5531479	5531479;52925737;14407673	5531479;52925737;14407673;45770026;195683603
77	[5531479]	5531479	5531479;52925737;14407673	5531479;52925737;14407673;45770026;4350400
78	[5099266]	5099266	5099266;37608303;8551160	5099266;37608303;8551160;36066871;29124963
79	[5099266]	5099266	5099266;4407455;6000423	5099266;4407455;6000423;34469966;15414628
80	[4920376]	7317051	7317051;33507866;24190159	7317051;33507866;24190159;36310858;41650417
81	[1797622]	38919140	38919140;16964262;18038250	38919140;16964262;18038250;15833835;16939583
82	[3619372]	21387297	21387297;4427392;20033112	21387297;4427392;20033112;1905095;3619372
85	[7521113, 22406695]	7521113	7521113;4928057;12827098	7521113;4928057;12827098;2604063;3155731
86	[7521113, 22406695]	7521113	7521113;4928057;12827098	7521113;4928057;12827098;2604063;3155731
88	[7521113, 22406695]	12827098	12827098;3155731;13116880	12827098;3155731;13116880;10015292;4928057
89	[7521113, 22406695]	4254064	4254064;22973574;24594624	4254064;22973574;24594624;25068298;25994317
90	[22406695]	4254064	4254064;22973574;24594624	4254064;22973574;24594624;25068298;25994317
91	[1084345]	33733520	33733520;45276789;41493639	33733520;45276789;41493639;16390264;30553457
92	[1084345]	33733520	33733520;41493639;30553457	33733520;41493639;30553457;5922085;42950029
93	[2692522]	4399311	4399311;34469966;15435343	4399311;34469966;15435343;6000423;32533299
95	[1215116]	13966946	13966946;25878014;7433668	13966946;25878014;7433668;23801039;2042250
96	[14500725]	14500725	14500725;6085365;3662510	14500725;6085365;3662510;9274291;409280
98	[6540064]	6540064	6540064;37205759;27264454	6540064;37205759;27264454;18852643;30351165
104	[40164383]	32159283	32159283;24097933;40164383	32159283;24097933;40164383;14823313;9306247
105	[36606083]	36606083	36606083;25787749;15685921	36606083;25787749;15685921;24307695;164189
106	[25515907, 5151024]	25515907	25515907;5151024;54490092	25515907;5151024;54490092;45447613;44030361
108	[6191684, 22995579, 23865182]	22995579	22995579;23865182;6191684	22995579;23865182;6191684;24865781;14606752
109	[4319174]	4319174	4319174;29381091;14865329	4319174;29381091;14865329;25687558;970012
111	[13513790]	13513790	13513790;23418635;7581911	13513790;23418635;7581911;4784069;4416964
112	[6157837]	6157837	6157837;1759213;26199970	6157837;1759213;26199970;25816994;14584755
114	[33872649]	33872649	33872649;15194125;2140513	33872649;15194125;2140513;4942718;21789744
116	[33872649]	33872649	33872649;2140513;4942718	33872649;2140513;4942718;3078080;40005757
119	[14606752]	14606752	14606752;5691302;22995579	14606752;5691302;22995579;14566771;15984735
120	[14606752]	14606752	14606752;22995579;5691302	14606752;22995579;5691302;39390206;14566771
121	[31460499]	24157077	24157077;1234098;36497180	24157077;1234098;36497180;20132778;43165768
122	[31460499]	24157077	24157077;1234098;36497180	24157077;1234098;36497180;20132778;43165768
123	[4883040]	4883040	4883040;31363207;7111021	4883040;31363207;7111021;13899137;17077004
126	[24512064]	27063470	27063470;28738741;5867846	27063470;28738741;5867846;23985464;46202852
134	[4695046]	39059143	39059143;21884449;14395738	39059143;21884449;14395738;5912283;20188586
138	[26016929]	26016929	26016929;21914176;457630	26016929;21914176;457630;1358909;10893238
139	[22080671]	6807122	6807122;15678772;49556906	6807122;15678772;49556906;31293581;37912677
144	[10582939]	10582939	10582939;7583161;14192687	10582939;7583161;14192687;40164383;24766509
149	[6227220]	6227220	6227220;31001322;10463997	6227220;31001322;10463997;56528795;39558597
152	[15488881]	15488881	15488881;1471041;38587347	15488881;1471041;38587347;15058155;38899659
153	[4702639]	2272614	2272614;25895285;9929089	2272614;25895285;9929089;9505402;711256
154	[4702639]	2272614	2272614;25895285;9929089	2272614;25895285;9929089;9505402;711256
155	[37549932]	37549932	37549932;22890091;4323425	37549932;22890091;4323425;34436231;10218447
156	[37549932]	37549932	37549932;22890091;4323425	37549932;22890091;4323425;10218447;34436231
157	[13439128]	13439128	13439128;39637840;2758012	13439128;39637840;2758012;16217855;2679511
159	[9394119]	2015126	2015126;9394119;3285322	2015126;9394119;3285322;22975806;4414547
160	[52874170]	52874170	52874170;23816832;3078080	52874170;23816832;3078080;5260382;45449835
161	[6903077]	6903077	6903077;20187433;28931537	6903077;20187433;28931537;1398021;13868795
164	[5824985]	5824985	5824985;18872233;7627167	5824985;18872233;7627167;29022271;43220289
165	[5824985]	5824985	5824985;18872233;15559582	5824985;18872233;15559582;13831842;7627167
166	[18872233]	18872233	18872233;43220289;29022271	18872233;43220289;29022271;19071857;5824985
167	[18872233]	18872233	18872233;43220289;29022271	18872233;43220289;29022271;19071857;5824985
168	[5824985]	5824985	5824985;7627167;29022271	5824985;7627167;29022271;18872233;43220289
169	[5824985]	5824985	5824985;7627167;15559582	5824985;7627167;15559582;13831842;29022271
172	[12670680]	12670680	12670680;28015516;28149602	12670680;28015516;28149602;14938990;5448119
173	[8126244]	8411251	8411251;20781656;13907427	8411251;20781656;13907427;29877890;20524091
174	[1710116]	2947540	2947540;4340358;6985854	2947540;4340358;6985854;79336156;25597580
175	[1710116]	79336156	79336156;2947540;4340358	79336156;2947540;4340358;6985854;10624000
176	[32587939]	25510546	25510546;13780287;4399311	25510546;13780287;4399311;20904154;32587939
177	[9669099]	9669099	9669099;21557055;37204802	9669099;21557055;37204802;43880096;7225911
178	[16322674, 27123743, 23557241, 17450673]	13831558	13831558;1171121;3285322	13831558;1171121;3285322;2140497;4886637
181	[16966326]	16966326	16966326;9217800;13380011	16966326;9217800;13380011;6722522;2543135
182	[11369420]	19510470	19510470;10795340;8385277	19510470;10795340;8385277;13205096;37248765
184	[12827098]	8137081	8137081;10078024;12827098	8137081;10078024;12827098;17271462;1122198
186	[16855829]	17374970	17374970;12789595;84580585	17374970;12789595;84580585;2867345;24159217
