id	gold standard passage	top_1	top_3	top_5
0	[31715818]	16532419	16532419;25602549;42421723	16532419;25602549;42421723;14831629;34935825
2	[13734012]	32481310	32481310;4828631;103007	32481310;4828631;103007;1583134;3870062
4	[22942787]	24980622	24980622;10958594;39903312	24980622;10958594;39903312;31616203;12074066
6	[2613775]	2613775	2613775;23117378;21050357	2613775;23117378;21050357;7711685;39381118
9	[44265107]	44265107	44265107;24700152;9056874	44265107;24700152;9056874;8190282;14647747
10	[32587939]	25510546	25510546;8453819;38477436	25510546;8453819;38477436;29459383;3943235
11	[32587939]	25510546	25510546;8453819;38477436	25510546;8453819;38477436;29459383;19561411
12	[33409100]	40971746	40971746;43557480;11822354	40971746;43557480;11822354;23377475;19804204
14	[641786]	393001	393001;3468459;27647593	393001;3468459;27647593;8477699;17195001
15	[22080671]	27127885	27127885;15337254;39851630	27127885;15337254;39851630;9997636;2853291
17	[1606628]	26611834	26611834;34544514;7662395	26611834;34544514;7662395;5487448;4810810
18	[22942787]	24980622	24980622;10958594;39903312	24980622;10958594;39903312;31616203;12074066
19	[3202143]	5002665	5002665;36178047;15907458	5002665;36178047;15907458;7834603;16284655
20	[3202143]	5002665	5002665;36178047;15907458	5002665;36178047;15907458;7834603;16284655
21	[41493639]	2488880	2488880;19464037;39300105	2488880;19464037;39300105;16390264;22414304
22	[6490571]	21274919	21274919;6490571;31495049	21274919;6490571;31495049;24318630;83707680
24	[3471191]	3471191	3471191;10165723;18488986	3471191;10165723;18488986;1900152;25738896
25	[2613775]	2613775	2613775;23117378;21050357	2613775;23117378;21050357;7711685;39381118
26	[32390525]	38410121	38410121;739734;37205685	38410121;739734;37205685;29460384;37207226
27	[32390525]	38410121	38410121;37205685;29460384	38410121;37205685;29460384;37207226;19132741
28	[12670680]	12670680	12670680;28149602;14938990	12670680;28149602;14938990;28015516;8639034
30	[24341590]	13069283	13069283;24341590;20454006	13069283;24341590;20454006;2488880;22482820
32	[12428497]	33723822	33723822;12428497;2264455	33723822;12428497;2264455;9161988;6748318
34	[11705328]	11705328	11705328;10557471;2481032	11705328;10557471;2481032;42441846;8595678
35	[5152028, 11705328]	16252863	16252863;9555784;11705328	16252863;9555784;11705328;16256507;13312471
37	[5152028, 11705328]	16252863	16252863;9555784;12810152	16252863;9555784;12810152;11705328;16256507
39	[13497630]	13497630	13497630;18344910;9997636	13497630;18344910;9997636;14682243;17088791
40	[13497630]	13497630	13497630;18344910;9997636	13497630;18344910;9997636;25900857;14682243
41	[18174210]	18174210	18174210;40913091;39571812	18174210;40913091;39571812;45218443;32181055
43	[7224723]	19583924	19583924;40234452;11900630	19583924;40234452;11900630;26474812;18374364
44	[56893404]	56893404	56893404;16572581;11880289	56893404;16572581;11880289;2533768;739734
45	[56893404]	56893404	56893404;16572581;11880289	56893404;16572581;11880289;2533768;739734
46	[380526]	380526	380526;20280410;43334921	380526;20280410;43334921;2647374;43329366
47	[3512154, 26996935]	26996935	26996935;6903077;25811797	26996935;6903077;25811797;23117928;21230110
52	[45638119]	10024681	10024681;15113221;952111	10024681;15113221;952111;2140497;654735
55	[49556906]	3973445	3973445;24721866;9899292	3973445;24721866;9899292;22036571;7005276
58	[4709641]	22185730	22185730;13223806;33986200	22185730;13223806;33986200;4709641;22116439
60	[13899137, 13901073]	22227889	22227889;12787125;5735492	22227889;12787125;5735492;26016929;32481310
61	[13899137, 13901073]	7547329	7547329;22227889;12787125	7547329;22227889;12787125;5735492;32481310
62	[32587939]	25510546	25510546;8453819;38477436	25510546;8453819;38477436;29459383;7198295
63	[40349336]	21295300	21295300;13106686;10704438	21295300;13106686;10704438;4391817;43880096
64	[40349336]	21295300	21295300;13106686;4391817	21295300;13106686;4391817;10704438;43880096
66	[14806256]	20399078	20399078;17591478;22482024	20399078;17591478;22482024;40913091;10326242
67	[21295300]	21295300	21295300;10704438;12909503	21295300;10704438;12909503;43880096;21219071
68	[21295300]	21295300	21295300;21219071;28697248	21295300;21219071;28697248;7039855;19079491
