id	gold standard passage	top_1	top_3	top_5
0	[31715818]	10608397	10608397;42421723;10607877	10608397;42421723;10607877;21257564;35008773
2	[13734012]	13734012	13734012;17333231;13770184	13734012;17333231;13770184;42240424;3716075
4	[22942787]	7165938	7165938;1387104;520579	7165938;1387104;520579;10958594;52188256
6	[2613775]	23117378	23117378;2613775;21050357	23117378;2613775;21050357;20240998;35521287
9	[44265107]	44265107	44265107;24700152;14647747	44265107;24700152;14647747;26105746;25182647
10	[32587939]	25510546	25510546;13780287;16712164	25510546;13780287;16712164;29459383;4399311
11	[32587939]	25510546	25510546;13780287;16712164	25510546;13780287;16712164;29459383;4399311
12	[33409100]	11705328	11705328;43557480;33409100	11705328;43557480;33409100;21636085;23377475
14	[641786]	1373287	1373287;6421792;393001	1373287;6421792;393001;22712546;14663842
15	[22080671]	24766509	24766509;8891333;87430549	24766509;8891333;87430549;25985964;18953920
17	[1606628]	7662395	7662395;17450673;5487448	7662395;17450673;5487448;30786800;16322674
18	[22942787]	7165938	7165938;1387104;520579	7165938;1387104;520579;10958594;43334921
19	[3202143]	36178047	36178047;13072113;21232018	36178047;13072113;21232018;16627684;9539753
20	[3202143]	36178047	36178047;13072113;21232018	36178047;13072113;21232018;16627684;9539753
21	[41493639]	41493639	41493639;26611094;13843341	41493639;26611094;13843341;19464037;14021596
22	[6490571]	25451374	25451374;6490571;73473433	25451374;6490571;73473433;21274919;14319754
24	[3471191]	1900152	1900152;7975937;15128866	1900152;7975937;15128866;52180874;4468861
25	[2613775]	23117378	23117378;2613775;21050357	23117378;2613775;21050357;20240998;35521287
26	[32390525]	3613041	3613041;38410121;4336849	3613041;38410121;4336849;22517564;29634262
27	[32390525]	3613041	3613041;38410121;4336849	3613041;38410121;4336849;22517564;29634262
28	[12670680]	28015516	28015516;28149602;14938990	28015516;28149602;14938990;5448119;12670680
30	[24341590]	13069283	13069283;313403;12438901	13069283;313403;12438901;17163294;2140497
32	[12428497]	12428497	12428497;2264455;33723822	12428497;2264455;33723822;8883846;9161988
34	[11705328]	8595678	8595678;37424881;42441846	8595678;37424881;42441846;11705328;16252863
35	[5152028, 11705328]	42441846	42441846;33409100;23267371	42441846;33409100;23267371;16252863;11705328
37	[5152028, 11705328]	12810152	12810152;4416964;16252863	12810152;4416964;16252863;33409100;23267371
39	[13497630]	34198460	34198460;13497630;11109043	34198460;13497630;11109043;9997636;4423220
40	[13497630]	34198460	34198460;13497630;11109043	34198460;13497630;11109043;9997636;4423220
41	[18174210]	40913091	40913091;18174210;45218443	40913091;18174210;45218443;10128893;2485101
43	[7224723]	7224723	7224723;5398179;35987381	7224723;5398179;35987381;25134146;26124606
44	[56893404]	2138843	2138843;56893404;24704139	2138843;56893404;24704139;17656445;120626
45	[56893404]	56893404	56893404;17656445;17324544	56893404;17656445;17324544;2138843;25599283
46	[380526]	380526	380526;43329366;17625068	380526;43329366;17625068;4632921;13831558
47	[3512154, 26996935]	26996935	26996935;3512154;11336632	26996935;3512154;11336632;41329906;28707489
52	[45638119]	2140497	2140497;313403;4886637	2140497;313403;4886637;25973484;32534305
55	[49556906]	3419709	3419709;9899292;26025820	3419709;9899292;26025820;49556906;3973445
58	[4709641]	4709641	4709641;22185730;22116439	4709641;22185730;22116439;33986200;11659421
60	[13899137, 13901073]	374902	374902;5735492;25134146	374902;5735492;25134146;13899137;22227889
61	[13899137, 13901073]	374902	374902;13899137;5735492	374902;13899137;5735492;25134146;13914633
62	[32587939]	25510546	25510546;13780287;29459383	25510546;13780287;29459383;4399311;5687200
63	[40349336]	21295300	21295300;38131471;5572127	21295300;38131471;5572127;12909503;30122260
64	[40349336]	21295300	21295300;38131471;5572127	21295300;38131471;5572127;12909503;30122260
66	[14806256]	39443128	39443128;10326242;8925851	39443128;10326242;8925851;20399078;40913091
67	[21295300]	21295300	21295300;29422484;38131471	21295300;29422484;38131471;5572127;43880096
68	[21295300]	21295300	21295300;29422484;28697248	21295300;29422484;28697248;29429111;13907427
69	[5956380, 4414547]	5956380	5956380;9669099;9169645	5956380;9669099;9169645;4414547;4389394
71	[1127562]	1127562	1127562;4373445;18231257	1127562;4373445;18231257;16267205;8290953
73	[6076903]	1031534	1031534;6076903;17119869	1031534;6076903;17119869;15953181;4067274
74	[4387784]	13965483	13965483;25657127;36233757	13965483;25657127;36233757;37768883;39550665
76	[5531479]	5531479	5531479;3495456;52925737	5531479;3495456;52925737;9878167;28015516
77	[5531479]	5531479	5531479;3495456;52925737	5531479;3495456;52925737;9878167;4350400
78	[5099266]	5099266	5099266;4407455;38043606	5099266;4407455;38043606;13583521;4345315
79	[5099266]	5099266	5099266;4407455;4345315	5099266;4407455;4345315;13583521;6000423
80	[4920376]	17462437	17462437;3210545;4320424	17462437;3210545;4320424;36310858;7317051
81	[1797622]	16964262	16964262;38919140;18038250	16964262;38919140;18038250;16939583;36651210
82	[3619372]	21387297	21387297;3619372;1905095	21387297;3619372;1905095;4427392;20033112
85	[7521113, 22406695]	12827098	12827098;3155731;4928057	12827098;3155731;4928057;7521113;12966719
