id	gold standard passage	top_1	top_3	top_5
0	[31715818]	26071782	26071782;21257564;18953920	26071782;21257564;18953920;26731863;825728
2	[13734012]	13734012	13734012;18617259;4828631	13734012;18617259;4828631;42240424;17333231
4	[22942787]	10958594	10958594;24980622;1387104	10958594;24980622;1387104;5641851;13030852
6	[2613775]	23117378	23117378;2613775;35521287	23117378;2613775;35521287;20240998;21050357
9	[44265107]	44265107	44265107;25182647;24700152	44265107;25182647;24700152;21186109;14647747
10	[32587939]	25510546	25510546;29459383;13780287	25510546;29459383;13780287;4399311;20904154
11	[32587939]	25510546	25510546;29459383;13780287	25510546;29459383;13780287;4399311;20904154
12	[33409100]	33409100	33409100;11705328;43557480	33409100;11705328;43557480;26025820;23377475
14	[641786]	1373287	1373287;6421792;393001	1373287;6421792;393001;641786;22712546
15	[22080671]	25238950	25238950;3848469;18953920	25238950;3848469;18953920;15337254;3758260
17	[1606628]	7662395	7662395;1263446;17450673	7662395;1263446;17450673;25182647;5487448
18	[22942787]	10958594	10958594;24980622;1387104	10958594;24980622;1387104;5641851;13030852
19	[3202143]	7042304	7042304;13072113;21232018	7042304;13072113;21232018;16267205;3202143
20	[3202143]	7042304	7042304;13072113;21232018	7042304;13072113;21232018;16267205;3202143
21	[41493639]	13843341	13843341;45341480;1259359	13843341;45341480;1259359;41493639;23862975
22	[6490571]	6490571	6490571;21274919;14682243	6490571;21274919;14682243;73473433;13934676
24	[3471191]	1900152	1900152;15128866;4468861	1900152;15128866;4468861;3471191;8963413
25	[2613775]	23117378	23117378;2613775;35521287	23117378;2613775;35521287;20240998;21050357
26	[32390525]	79696454	79696454;437924;14260013	79696454;437924;14260013;1373287;38410121
27	[32390525]	79696454	79696454;437924;14260013	79696454;437924;14260013;1373287;38410121
28	[12670680]	12670680	12670680;14938990;28015516	12670680;14938990;28015516;28149602;5448119
30	[24341590]	13069283	13069283;24341590;20454006	13069283;24341590;20454006;12438901;15721252
32	[12428497]	12428497	12428497;33723822;27527854	12428497;33723822;27527854;44629665;2264455
34	[11705328]	42441846	42441846;11705328;8595678	42441846;11705328;8595678;37424881;21636085
35	[5152028, 11705328]	42441846	42441846;33409100;18557974	42441846;33409100;18557974;16252863;37424881
37	[5152028, 11705328]	16252863	16252863;33409100;42441846	16252863;33409100;42441846;12810152;11705328
39	[13497630]	13497630	13497630;11109043;9997636	13497630;11109043;9997636;34198460;17088791
40	[13497630]	13497630	13497630;11109043;9997636	13497630;11109043;9997636;17088791;34198460
41	[18174210]	18174210	18174210;40913091;4449524	18174210;40913091;4449524;27162821;45218443
43	[7224723]	5398179	5398179;8563659;4816339	5398179;8563659;4816339;9433958;40234452
44	[56893404]	56893404	56893404;24704139;2138843	56893404;24704139;2138843;41264017;3230557
45	[56893404]	56893404	56893404;41264017;24704139	56893404;41264017;24704139;3230557;13282296
46	[380526]	380526	380526;43329366;13519661	380526;43329366;13519661;17625068;3868322
47	[3512154, 26996935]	26996935	26996935;3512154;11336632	26996935;3512154;11336632;23117928;28707489
52	[45638119]	45638119	45638119;7821634;10024681	45638119;7821634;10024681;25973484;22401720
55	[49556906]	9899292	9899292;49556906;1590744	9899292;49556906;1590744;3419709;9752604
58	[4709641]	4709641	4709641;22116439;4459491	4709641;22116439;4459491;22185730;11659421
60	[13899137, 13901073]	39984099	39984099;374902;28806780	39984099;374902;28806780;13071728;25134146
61	[13899137, 13901073]	39984099	39984099;13899137;374902	39984099;13899137;374902;46353045;25134146
62	[32587939]	25510546	25510546;29459383;13780287	25510546;29459383;13780287;4399311;20904154
63	[40349336]	12909503	12909503;21295300;30122260	12909503;21295300;30122260;5572127;16644043
