id	gold standard passage	top_1	top_3	top_5
0	[31715818]	10029970	10029970;42421723;4459491	10029970;42421723;4459491;25950264;31543713
2	[13734012]	4828631	4828631;32481310;103007	4828631;32481310;103007;17415081;7020505
4	[22942787]	10958594	10958594;12074066;24980622	10958594;12074066;24980622;39903312;42731834
6	[2613775]	2613775	2613775;23117378;21050357	2613775;23117378;21050357;20287253;39381118
9	[44265107]	44265107	44265107;24700152;14647747	44265107;24700152;14647747;26105746;29366489
10	[32587939]	25510546	25510546;8453819;19561411	25510546;8453819;19561411;38477436;29459383
11	[32587939]	25510546	25510546;8453819;19561411	25510546;8453819;19561411;38477436;29459383
12	[33409100]	19804204	19804204;23377475;43557480	19804204;23377475;43557480;11705328;33409100
14	[641786]	6421792	6421792;393001;3468459	6421792;393001;3468459;27647593;14663842
15	[22080671]	15337254	15337254;2853291;15491308	15337254;2853291;15491308;24766509;104130
17	[1606628]	26611834	26611834;7662395;34544514	26611834;7662395;34544514;5487448;25182647
18	[22942787]	10958594	10958594;12074066;24980622	10958594;12074066;24980622;39903312;42731834
19	[3202143]	5002665	5002665;36178047;7834603	5002665;36178047;7834603;1576955;9539753
20	[3202143]	5002665	5002665;36178047;7834603	5002665;36178047;7834603;1576955;9539753
21	[41493639]	19464037	19464037;41493639;14021596	19464037;41493639;14021596;2488880;16390264
22	[6490571]	21274919	21274919;24318630;25451374	21274919;24318630;25451374;6490571;16204011
24	[3471191]	1900152	1900152;3471191;18488986	1900152;3471191;18488986;10165723;52180874
25	[2613775]	2613775	2613775;23117378;21050357	2613775;23117378;21050357;20287253;39381118
26	[32390525]	38410121	38410121;37205685;4336849	38410121;37205685;4336849;13296399;341324
27	[32390525]	38410121	38410121;37205685;4336849	38410121;37205685;4336849;13296399;341324
28	[12670680]	28149602	28149602;28015516;14938990	28149602;28015516;14938990;5448119;12670680
30	[24341590]	24341590	24341590;13069283;20454006	24341590;13069283;20454006;25973484;16098747
32	[12428497]	2264455	2264455;33723822;9161988	2264455;33723822;9161988;12428497;6748318
34	[11705328]	10557471	10557471;8595678;42441846	10557471;8595678;42441846;41646286;16252863
35	[5152028, 11705328]	16252863	16252863;23267371;9555784	16252863;23267371;9555784;12074066;11705328
37	[5152028, 11705328]	12810152	12810152;16252863;23267371	12810152;16252863;23267371;9555784;12074066
39	[13497630]	13497630	13497630;9997636;34198460	13497630;9997636;34198460;17088791;39851630
40	[13497630]	13497630	13497630;9997636;34198460	13497630;9997636;34198460;17088791;39851630
41	[18174210]	18174210	18174210;40913091;45218443	18174210;40913091;45218443;10128893;32181055
43	[7224723]	23531592	23531592;19583924;7224723	23531592;19583924;7224723;40234452;11902109
44	[56893404]	56893404	56893404;24640046;3801693	56893404;24640046;3801693;27449472;12206390
45	[56893404]	56893404	56893404;17656445;25599283	56893404;17656445;25599283;3801693;27449472
46	[380526]	380526	380526;43329366;17625068	380526;43329366;17625068;20280410;23665162
47	[3512154, 26996935]	26996935	26996935;6903077;25811797	26996935;6903077;25811797;2810997;461550
52	[45638119]	10024681	10024681;25973484;16098747	10024681;25973484;16098747;21033230;5864770
55	[49556906]	3973445	3973445;9899292;1590744	3973445;9899292;1590744;24721866;7005276
58	[4709641]	37722384	37722384;33986200;4709641	37722384;33986200;4709641;22185730;7482674
60	[13899137, 13901073]	5735492	5735492;22227889;14319754	5735492;22227889;14319754;23531592;44562058
61	[13899137, 13901073]	5735492	5735492;22227889;14319754	5735492;22227889;14319754;23531592;44562058
62	[32587939]	25510546	25510546;8453819;19561411	25510546;8453819;19561411;38477436;29459383
63	[40349336]	10704438	10704438;21295300;43880096	10704438;21295300;43880096;38131471;4391817
64	[40349336]	10704438	10704438;21295300;43880096	10704438;21295300;43880096;38131471;4391817
66	[14806256]	20399078	20399078;22482024;10526279	20399078;22482024;10526279;4449524;40913091
67	[21295300]	21295300	21295300;43880096;36831892	21295300;43880096;36831892;10704438;43602749
68	[21295300]	28697248	28697248;21295300;21219071	28697248;21295300;21219071;12207340;8759633
69	[5956380, 4414547]	9169645	9169645;4414547;5956380	9169645;4414547;5956380;4389394;9669099
71	[1127562]	1127562	1127562;5002665;7834603	1127562;5002665;7834603;1576955;9539753
73	[6076903]	16737210	16737210;41774099;26491450	16737210;41774099;26491450;3851329;41811327
74	[4387784]	36233757	36233757;25657127;4387784	36233757;25657127;4387784;24705390;8654183
76	[5531479]	5531479	5531479;9878167;52925737	5531479;9878167;52925737;3330111;8477699
77	[5531479]	5531479	5531479;9878167;52925737	5531479;9878167;52925737;3330111;8477699
78	[5099266]	5099266	5099266;4345315;46594244	5099266;4345315;46594244;9226649;27460509
79	[5099266]	5099266	5099266;4345315;4583180	5099266;4345315;4583180;21414718;27460509
80	[4920376]	4320424	4320424;7317051;17462437	4320424;7317051;17462437;3210545;36310858
81	[1797622]	38919140	38919140;2437807;39801095	38919140;2437807;39801095;16964262;87610599
82	[3619372]	3619372	3619372;4427392;39465575	3619372;4427392;39465575;20033112;21271817
85	[7521113, 22406695]	12827098	12827098;12966719;3155731	12827098;12966719;3155731;5511240;26611834
86	[7521113, 22406695]	12827098	12827098;12966719;3155731	12827098;12966719;3155731;5511240;26611834
88	[7521113, 22406695]	12827098	12827098;16999023;12966719	12827098;16999023;12966719;3155731;13116880
89	[7521113, 22406695]	25068298	25068298;12827098;24594624	25068298;12827098;24594624;12966719;3155731
90	[22406695]	25068298	25068298;12827098;24594624	25068298;12827098;24594624;12966719;3155731
91	[1084345]	6580081	6580081;22281684;28783084	6580081;22281684;28783084;26474812;6040392
92	[1084345]	6580081	6580081;22281684;28783084	6580081;22281684;28783084;26474812;6040392
93	[2692522]	4399311	4399311;6000423;5386514	4399311;6000423;5386514;32533299;40312663
95	[1215116]	15879544	15879544;11936877;18025240	15879544;11936877;18025240;7433668;196664003
96	[14500725]	14500725	14500725;25953438;34818263	14500725;25953438;34818263;3662510;18268012
98	[6540064]	6540064	6540064;9846940;4505748	6540064;9846940;4505748;46837626;10012166
104	[40164383]	34054472	34054472;32159283;17897801	34054472;32159283;17897801;7227763;44384384
105	[36606083]	164189	164189;15615957;2841164	164189;15615957;2841164;22406695;14591894
106	[25515907, 5151024]	25515907	25515907;8318922;45447613	25515907;8318922;45447613;30639847;54490092
108	[6191684, 22995579, 23865182]	30813140	30813140;22995579;23865182	30813140;22995579;23865182;24055603;6191684
109	[4319174]	29381091	29381091;43192375;22406695	29381091;43192375;22406695;1568684;40232172
111	[13513790]	13513790	13513790;39801095;7581911	13513790;39801095;7581911;32776084;87610599
112	[6157837]	14584755	14584755;6157837;356218	14584755;6157837;356218;6397191;25452937
114	[33872649]	15194125	15194125;33872649;21789744	15194125;33872649;21789744;20101846;28894097
116	[33872649]	33872649	33872649;15953181;1391126	33872649;15953181;1391126;25953438;3095620
119	[14606752]	15984735	15984735;14566771;26132041	15984735;14566771;26132041;14606752;13883546
120	[14606752]	15984735	15984735;14566771;9614443	15984735;14566771;9614443;26132041;14606752
121	[31460499]	12801438	12801438;31460499;4664540	12801438;31460499;4664540;24157077;20132778
122	[31460499]	12801438	12801438;31460499;4664540	12801438;31460499;4664540;24157077;20132778
123	[4883040]	7111021	7111021;4883040;35087728	7111021;4883040;35087728;3033830;13901073
126	[24512064]	21323587	21323587;38784540;23915841	21323587;38784540;23915841;14806256;5824985
134	[4695046]	27024392	27024392;24414345;35087728	27024392;24414345;35087728;15048300;5824985
138	[26016929]	21636085	21636085;457630;26016929	21636085;457630;26016929;19521501;10536636
139	[22080671]	13889430	13889430;3847200;24640046	13889430;3847200;24640046;22488511;27709445
144	[10582939]	10582939	10582939;2853291;15337254	10582939;2853291;15337254;24766509;15491308
149	[6227220]	6227220	6227220;41120293;120626	6227220;41120293;120626;24872571;52805891
152	[15488881]	37269418	37269418;15488881;15058155	37269418;15488881;15058155;7020505;21387297
153	[4702639]	4702639	4702639;9929089;34469966	4702639;9929089;34469966;25515662;26491450
154	[4702639]	4702639	4702639;9929089;34469966	4702639;9929089;34469966;25515662;26491450
